Country,Year,Score,Rank
Czech Republic,2007,0.6718,64
Malta,2007,0.6615,76
Botswana,2007,0.6797,53
Georgia,2007,0.6665,67
Hungary,2007,0.6731,61
Brunei Darussalam,2007,NA,NA
Paraguay,2007,0.6659,69
Tajikistan,2007,0.6578,79
Chile,2007,0.6482,86
Angola*,2007,NA,NA
Bhutan*,2007,NA,NA
Armenia,2007,0.6651,71
Indonesia,2007,0.655,81
El Salvador,2007,0.6853,48
Maldives,2007,0.635,99
Mauritius,2007,0.6487,85
Azerbaijan,2007,0.6781,59
Cameroon,2007,0.5919,116
India,2007,0.5936,114
Malaysia,2007,0.6444,92
Burkina Faso,2007,0.5912,117
Cambodia,2007,0.6353,98
Japan,2007,0.6455,91
Nigeria,2007,0.6122,107
Belize,2007,0.6426,94
Albania,2007,0.6685,66
United Arab Emirates,2007,0.6184,105
Suriname,2007,0.6794,56
"Korea, Rep.",2007,0.6409,97
Bahrain,2007,0.5931,115
Zambia,2007,0.6288,101
Guatemala,2007,0.6144,106
Qatar,2007,0.6041,109
Kuwait,2007,0.6409,96
Fiji,2007,NA,NA
Ethiopia,2007,0.5991,113
Jordan,2007,0.6203,104
Turkey,2007,0.5768,121
Nepal,2007,0.5575,125
Oman,2007,0.5903,119
Lebanon,2007,NA,NA
Algeria,2007,0.6068,108
Egypt,2007,0.5809,120
Benin,2007,0.5656,123
Saudi Arabia,2007,0.5647,124
Mali,2007,0.6019,112
Morocco,2007,0.5676,122
"Iran, Islamic Rep.",2007,0.5903,118
CÂ»te d'Ivoire,2007,NA,NA
Mauritania,2007,0.6022,111
Syria,2007,0.6216,103
Chad,2007,0.5381,127
Pakistan,2007,0.5509,126
Yemen,2007,0.451,128
Iceland,2006,0.7813,4
Finland,2006,0.7958,3
Norway,2006,0.7994,2
Sweden,2006,0.8133,1
Philippines,2006,0.7516,6
Ireland,2006,0.7335,10
New Zealand,2006,0.7509,7
Denmark,2006,0.7462,8
Switzerland,2006,0.6997,26
Nicaragua,2006,0.6566,62
Belgium,2006,0.7078,20
Latvia,2006,0.7091,19
Netherlands,2006,0.725,12
Germany,2006,0.7524,5
Cuba,2006,NA,NA
Lesotho,2006,0.6807,43
South Africa,2006,0.7125,18
United Kingdom,2006,0.7365,9
Austria,2006,0.6986,27
Canada,2006,0.7165,14
Luxembourg,2006,0.6671,56
Burundi,2006,NA,NA
United States,2006,0.7042,23
Australia,2006,0.7163,15
Ecuador,2006,0.6433,82
Mozambique,2006,NA,NA
Bolivia,2006,0.6335,87
Lithuania,2006,0.7077,21
Barbados,2006,NA,NA
Spain,2006,0.7319,11
Costa Rica,2006,0.6936,30
Kazakhstan,2006,0.6928,32
Mongolia,2006,0.6821,42
Argentina,2006,0.6829,41
Colombia,2006,0.7049,22
Trinidad and Tobago,2006,0.6797,45
Panama,2006,0.6935,31
Slovenia,2006,0.6745,51
Malawi,2006,0.6437,81
Bahamas,2006,NA,NA
Cape Verde,2006,NA,NA
Serbia,2006,NA,NA
Bulgaria,2006,0.687,37
Namibia,2006,0.6864,38
France,2006,0.652,70
Uganda,2006,0.6797,47
Jamica,2006,0.7014,25
Guyana,2006,NA,NA
Croatia,2006,0.7145,16
Venezuela,2006,0.6664,57
Portugal,2006,0.6922,33
Moldova,2006,0.7128,17
Israel,2006,0.6889,35
Poland,2006,0.6802,44
Sri Lanka,2006,0.7199,13
Madagascar,2006,0.6385,84
"Macedonia, FYR",2006,0.6983,28
Singapore,2006,0.655,65
Estonia,2006,0.6944,29
Lao PDR*,2006,NA,NA
Russian Federation,2006,0.677,49
Brazil,2006,0.6543,67
Kyrgyz Republic,2006,0.6742,52
Ukraine,2006,0.6797,48
Thailand,2006,0.6831,40
Tanzania,2006,0.7038,24
Senegal,2006,NA,NA
Mexico,2006,0.6462,75
China,2006,0.6561,63
Romania,2006,0.6797,46
Italy,2006,0.6456,77
Dominican Republic,2006,0.6639,59
Vietnam,2006,NA,NA
Slovak Republic,2006,0.6757,50
Bangladesh,2006,0.627,91
Ghana,2006,0.6653,58
Uruguay,2006,0.6549,66
Kenya,2006,0.6486,73
Cyprus,2006,0.643,83
Peru,2006,0.6619,60
Greece,2006,0.654,69
Honduras,2006,0.6483,74
Czech Republic,2006,0.6712,53
Malta,2006,0.6518,71
Botswana,2006,0.6897,34
Georgia,2006,0.67,54
Hungary,2006,0.6698,55
Brunei Darussalam,2006,NA,NA
Paraguay,2006,0.6556,64
Tajikistan,2006,NA,NA
Chile,2006,0.6455,78
Angola*,2006,NA,NA
Bhutan*,2006,NA,NA
Armenia,2006,NA,NA
Indonesia,2006,0.6541,68
El Salvador,2006,0.6837,39
Maldives,2006,NA,NA
Mauritius,2006,0.6328,88
Azerbaijan,2006,NA,NA
Cameroon,2006,0.5865,103
India,2006,0.6011,98
Malaysia,2006,0.6509,72
Burkina Faso,2006,0.5854,104
Cambodia,2006,0.6291,89
Japan,2006,0.6447,80
Nigeria,2006,0.6104,94
Belize,2006,NA,NA
Albania,2006,0.6607,61
United Arab Emirates,2006,0.5919,101
Suriname,2006,NA,NA
"Korea, Rep.",2006,0.6157,92
Bahrain,2006,0.5894,102
Zambia,2006,0.636,85
Guatemala,2006,0.6067,95
Qatar,2006,NA,NA
Kuwait,2006,0.6341,86
Fiji,2006,NA,NA
Ethiopia,2006,0.5946,100
Jordan,2006,0.6109,93
Turkey,2006,0.585,105
Nepal,2006,0.5478,111
Oman,2006,NA,NA
Lebanon,2006,NA,NA
Algeria,2006,0.6018,97
Egypt,2006,0.5786,109
Benin,2006,0.578,110
Saudi Arabia,2006,0.5242,114
Mali,2006,0.5996,99
Morocco,2006,0.5827,107
"Iran, Islamic Rep.",2006,0.5803,108
CÂ»te d'Ivoire,2006,NA,NA
Mauritania,2006,0.5835,106
Syria,2006,NA,NA
Chad,2006,0.5247,113
Pakistan,2006,0.5434,112
Yemen,2006,0.4595,115
